Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Damien Williams,ATL,1,2,2,1.00,2.0,2,0,0
Tyler Conklin,NYJ,9,1,1,1.00,0.1,1,0,1
Noah Gray,KC,8,1,1,1.00,0.1,1t,1,1
Jerry Jeudy,DEN,8,1,1,1.00,0.1,1,0,1
Rondale Moore,ARI,6,5,1,0.20,0.2,9,0,1
George Pickens,PIT,8,1,1,1.00,0.1,1,0,0
Durham Smythe,MIA,8,1,1,1.00,0.1,1t,1,1
Bryan Anger,DAL,8,0,0,0.00,0.0,0,0,0
Evan Engram,JAX,9,1,0,0.00,0.0,0,0,0
Gerald Everett,LAC,8,1,0,0.00,0.0,0,0,0
Clayton Fejedelem,MIA,5,1,0,0.00,0.0,0,0,0
Kylen Granson,IND,9,1,0,0.00,0.0,0,0,0
Case Keenum,BUF,2,5,0,0.00,0.0,4,0,0
Zach Pascal,PHI,8,1,0,0.00,0.0,0,0,0
Brock Purdy,SF,2,2,0,0.00,0.0,1,0,0
Bailey Zappe,NE,4,10,0,0.00,0.0,5,0,0
Davante Adams,LV,8,3,-1,-0.33,-0.1,4,0,0
Brandon Allen,CIN,1,3,-1,-0.33,-1.0,2,0,1
C.J. Beathard,JAX,1,1,-1,-1.00,-1.0,-1,0,0
Andrew Beck,DEN,8,1,-1,-1.00,-0.1,-1,0,0
Gardner Minshew,PHI,1,1,-1,-1.00,-1.0,-1,0,0
K.J. Osborn,MIN,8,1,-1,-1.00,-0.1,-1,0,0
Ihmir Smith-Marsette,CHI,6,1,-1,-1.00,-0.2,-1,0,0
Ty Montgomery,NE,1,2,-2,-1.00,-2.0,0,0,0
Matthias Farley,LV,8,1,-3,-3.00,-0.4,-3,0,0
Jamie Gillan,NYG,8,1,-3,-3.00,-0.4,0,0,0
Chad Henne,KC,2,3,-3,-1.00,-1.5,-1,0,0
Marquez Valdes-Scantling,KC,8,1,-3,-3.00,-0.4,-3,0,0
Quez Watkins,PHI,8,1,-3,-3.00,-0.4,-3,0,0
Demetric Felton,CLE,5,1,-4,-4.00,-0.8,-4,0,0
Elijah Moore,NYJ,8,2,-4,-2.00,-0.5,2,0,0
Chigoziem Okonkwo,TEN,8,1,-4,-4.00,-0.5,-4,0,0
Tom Brady,TB,9,12,-5,-0.42,-0.6,1,0,0
DeAndre Carter,LAC,8,1,-5,-5.00,-0.6,-5,0,0
David Njoku,CLE,7,1,-6,-6.00,-0.9,-6,0,0
Olamide Zaccheaus,ATL,9,1,-6,-6.00,-0.7,-6,0,0
Breshad Perriman,TB,7,2,-7,-3.50,-1.0,0,0,0
Jahan Dotson,WAS,4,1,-10,-10.00,-2.5,-10,0,0
Michael Dickson,SEA,9,2,-18,-9.00,-2.0,-8,0,0
