Player	Team	Gms	Rec	Yds	Avg	YPG	Lg	TD	FD	Tar	YAC
Taysom Hill	NO	9	3	16	5.33	1.8	11	1	2	5	12
Cody Hollister	TEN	9	3	54	18.00	6.0	27	0	2	5	8
Jesper Horsted	LV	9	3	19	6.33	2.1	9	0	0	4	6
Chuba Hubbard	CAR	8	3	11	3.67	1.4	7	0	0	4	19
Trenton Irwin	CIN	2	3	41	13.67	20.5	18	0	2	4	8
Van Jefferson	LA	3	3	27	9.00	9.0	19	1	3	8	4
D'Ernest Johnson	CLE	7	3	7	2.33	1.0	7	0	0	3	8
Velus Jones	CHI	5	3	24	8.00	4.8	10	1	2	5	33
Marcedes Lewis	GB	10	3	20	6.67	2.0	19	1	2	3	5
Ty Montgomery	NE	1	3	15	5.00	15.0	7	1	1	4	7
Isiah Pacheco	KC	9	3	13	4.33	1.4	12	0	1	3	28
Donald Parham	LAC	2	3	53	17.67	26.5	24	0	2	4	11
Byron Pringle	CHI	4	3	45	15.00	11.2	22	0	3	5	4
MyCole Pruitt	ATL	6	3	14	4.67	2.3	6	1	2	3	3
Jalen Reagor	MIN	9	3	10	3.33	1.1	7	1	1	5	15
Steven Sims	PIT	4	3	14	4.67	3.5	15	0	1	5	22
Jack Stoll	PHI	8	3	38	12.67	4.8	21	0	2	6	23
Mike Strachan	IND	9	3	59	19.67	6.6	23	0	3	8	13
Trent Taylor	CIN	9	3	19	6.33	2.1	9	0	0	3	18
Eric Tomlinson	DEN	9	3	37	12.33	4.1	16	0	2	6	17
Tylan Wallace	BAL	6	3	21	7.00	3.5	9	0	0	6	4
Montrell Washington	DEN	9	3	5	1.67	0.6	4	0	0	5	14
Derek Watt	PIT	9	3	7	2.33	0.8	5	1	1	3	5
Kyren Williams	LA	2	3	30	10.00	15.0	14	0	3	3	21
Cam Akers	LA	7	2	18	9.00	2.6	10	0	1	6	18
Kendall Blanton	LA	4	2	35	17.50	8.8	28	0	1	2	23
Malcolm Brown	LA	5	2	23	11.50	4.6	13	0	2	2	29
Spencer Brown	CAR	2	2	10	5.00	5.0	9	0	0	4	12
Michael Burton	KC	9	2	11	5.50	1.2	9	0	0	3	8
